,1950s,1960s,1970s,1980s,1990s,2000s
Digital,4.420643698770265e-06,5.502931858914457e-06,8.482218763361904e-06,4.875173595708442e-05,9.213005804193656e-05,0.0001817709685795897
Football,3.801753580942428e-05,0.00014032476240231865,0.00011528106410205497,0.00014142395475838903,0.00020239012750578034,0.00018587106561521955
Mining,9.460177515368368e-05,7.841677898953102e-05,9.831662657533117e-05,8.9158580173767e-05,6.253003939392482e-05,5.398461096912627e-05
Shipbuilding,0.000116704993647535,9.183017539563501e-05,8.405107683694978e-05,8.388812223246057e-05,2.9970018881111893e-05,2.733398023753229e-05
Technology,7.249855665983235e-05,0.0002748026597045407,0.0002988054337093398,0.0005156264685911451,0.0008003105041956177,0.0006061310117672785
